Dog Name,Primary Breed,Approval Date,Dog Tag Number
Raya,Alaskan Husky,9/14/2022,35105
Otis,"Poodle, Standard",9/14/2022,35111
Archie,Chihuahua,9/14/2022,35108
Molly,"Retriever, Labrador",9/14/2022,35102
Appa,"Terrier, American Staffordshire",9/14/2022,35117
Penny,"Terrier, Pit Bull",9/15/2022,
Hazel,"Terrier, American Staffordshire",9/15/2022,25382
Sweetpea,"Schnauzer, Miniature",9/15/2022,28048
Ranger,Mix,9/19/2022,
Xena,"Mixed Breed, Large (over 44 lbs fully grown)",9/19/2022,
Sunny,"Mixed Breed, Large (over 44 lbs fully grown)",9/19/2022,
Piper,"Retriever, Labrador",9/19/2022,
Aspen,"Vizsla, Smooth Haired",9/19/2022,
Shai,Boerboel,9/21/2022,35128
Ernie,Beagle,9/21/2022,35127
Mojo,"Mixed Breed, Large (over 44 lbs fully grown)",9/21/2022,35131
Stella,Maltese,9/21/2022,35129
Frankie,Siberian Husky,9/21/2022,35130
Kilo,"Terrier, Pit Bull",9/21/2022,35126
Beaker,Beagle,9/21/2022,35125
Kora,German Shepherd,9/21/2022,35123
Hamilton,"Welsh Corgi, Cardigan",9/21/2022,
Max,"Terrier, West Highland White",9/22/2022,35145
Ringo,"Retriever, Golden",9/22/2022,35146
Luca Zane,"Chihuahua, Short Coat",9/22/2022,35148
Waffles,"Bulldog, French",9/22/2022,35141
Pretty,"Poodle, Miniature",9/22/2022,35142
Racer,Terrier,9/22/2022,35135
Tomago,"Terrier, American Staffordshire",9/22/2022,35140
Tig,Mix,9/22/2022,35136
Kenai,Bichon Frise,9/22/2022,35152
Kylo,"Terrier, American Staffordshire",9/22/2022,
Nic,"Mixed Breed, Large (over 44 lbs fully grown)",9/22/2022,35138
Carrot,"Foxhound, American",9/22/2022,35139
Midge,Pug,9/22/2022,35153
Juno,German Shepherd,9/22/2022,
Shea,Shetland Sheepdog,9/22/2022,35143
Poppy,"Mixed Breed, Medium (up to 44 lbs fully grown)",9/22/2022,35147
Nougat,Greyhound,9/22/2022,35137
Izzy,Pug,9/22/2022,35133
Astro,"Terrier, Soft Coated Wheaten",9/22/2022,35149
Nala,"Vizsla, Smooth Haired",9/22/2022,
Deli,Terrier,9/22/2022,35150
Beauty,Beagle,9/22/2022,35144
Callie,"Retriever, Labrador",9/22/2022,35124
Moose,Bernese Mountain Dog,9/23/2022,35154
Eggnog,"Bulldog, French",9/23/2022,35156
Chuck,"Terrier, American Pit Bull",9/23/2022,35155
Gus,Beagle,9/23/2022,35101
Ruby,"Retriever, Golden",9/23/2022,
Bruno,"Terrier, American Pit Bull",9/23/2022,35159
Tango,Australian Cattle Dog,9/23/2022,
Figo,"Retriever, Labrador",9/23/2022,35157
Maizie,"Mixed Breed, Small (under 24 lbs fully grown)",9/23/2022,
Bubbles,Olde English Bulldogge,9/23/2022,35158
Mango,"Mixed Breed, Large (over 44 lbs fully grown)",9/25/2022,
Oslo,"Dachshund, Standard Long Haired",9/26/2022,
Emma,"Mixed Breed, Small (under 24 lbs fully grown)",9/27/2022,
Judge,Mix,9/28/2022,35176
Chip,Terrier,9/28/2022,35167
Buddy,"Terrier, American Pit Bull",9/28/2022,35163
Rosie,"Retriever, Golden",9/28/2022,35172
Teddy,"Retriever, Golden",9/28/2022,35164
Maple,German Shepherd,9/28/2022,35174
Sonoma,Mix,9/28/2022,35170
Papo,"Terrier, Boston",9/28/2022,35165
Matteo (Tay),"Terrier, Pit Bull",9/28/2022,35175
Fetty Paw,Retriever,9/28/2022,
Elaea Atwal,"Mixed Breed, Large (over 44 lbs fully grown)",9/28/2022,35160
Martin,"Spaniel, Cavalier King Charles",9/28/2022,35171
Otis,"Retriever, Labrador",9/28/2022,35166
Calpurnia,Australian Cattle Dog,9/28/2022,35162
Sushi,"Poodle, Toy",9/28/2022,35173
Jelly Bean,"Mixed Breed, Small (under 24 lbs fully grown)",9/29/2022,
Biscuit,"Mixed Breed, Large (over 44 lbs fully grown)",9/30/2022,
Mack,Rhodesian Ridgeback,10/1/2022,
Apollo,Boxer,10/4/2022,
Citra,Hound,10/4/2022,
Bandit,Miniature Pinscher,10/4/2022,
Valkyrie,"Retriever, Labrador",10/5/2022,35189
Rex,"Retriever, Golden",10/5/2022,35190
Agent Fury,"Retriever, Labrador",10/5/2022,35191
Coco,Bernese Mountain Dog,10/5/2022,35182
Theo,Maremma Sheepdog,10/5/2022,35188
MJ,German Shepherd,10/5/2022,35195
Prilla,"Mixed Breed, Large (over 44 lbs fully grown)",10/5/2022,35169
Arthur,"Retriever, Golden",10/5/2022,35186
Sadie,"Cur, Mountain",10/5/2022,35194
Millie,"Poodle, Standard",10/5/2022,35183
Hoppy,"Mixed Breed, Medium (up to 44 lbs fully grown)",10/5/2022,35180
Wolfgang,"Chihuahua, Long Coat",10/5/2022,35197
Maverick,Mix,10/5/2022,35177
Aretha,Norwegian Elkhound,10/5/2022,35336
Daisy,Terrier,10/5/2022,
Jinx,Alaskan Husky,10/5/2022,35199
JoJo,"Dachshund, Standard Smooth Haired",10/5/2022,35196
Bucky,German Shepherd,10/5/2022,35200
Remington,"Welsh Corgi, Pembroke",10/5/2022,35178
Appa,Alaskan Malamute,10/5/2022,35181
Coco,Chihuahua,10/5/2022,35184
Leonidas,"Chihuahua, Short Coat",10/5/2022,35198
Roscoe,"Retriever, Labrador",10/5/2022,35187
Daizy,"Terrier, Irish",10/5/2022,35192
Ash Toon,Australian Cattle Dog,10/5/2022,35179
Eklutna,Border Collie,10/5/2022,35168
Sugar,,10/5/2022,35193
Gibson,,10/5/2022,35185
Sally,"Mixed Breed, Medium (up to 44 lbs fully grown)",10/6/2022,35500
Goose,"Retriever, Golden",10/6/2022,35499
Gizmo,German Shepherd,10/7/2022,35498
Paco,Chihuahua,10/7/2022,35497
Mickey,"Terrier, Sealyham",10/7/2022,35496
Piper,German Shepherd,10/8/2022,35495
Autumn,Plott Hound,10/11/2022,
Chummy Gray,"Poodle, Miniature",10/11/2022,
Baxter,"Vizsla, Smooth Haired",10/11/2022,
Penny,"Retriever, Labrador",10/13/2022,
Apollo,Pug,10/13/2022,
Dextrose,"Retriever, Golden",10/13/2022,29141
Carly,"Retriever, Flat-Coated",10/13/2022,
Nigel,"Bulldog, English",10/14/2022,35490
Rocky,Beagle,10/14/2022,35488
Peppa,"Bulldog, English",10/14/2022,35480
Freya,German Shepherd,10/14/2022,35483
Taffy,"Retriever, Labrador",10/14/2022,35482
Calypso,Portuguese Water Dog,10/14/2022,
Jasmine,Siberian Husky,10/14/2022,35484
Chispita,Chihuahua,10/14/2022,35477
Dottie,Australian Cattle Dog,10/14/2022,35474
Sky,Pomeranian,10/14/2022,35491
Del,Beagle,10/14/2022,35489
Roman,"Retriever, Labrador",10/14/2022,35473
Sven,"Poodle, Standard",10/14/2022,35476
Zowiebowie née Peter,Retriever,10/14/2022,35478
Walle,"Retriever, Golden",10/14/2022,35492
Bixby,Old English Sheepdog,10/14/2022,35481
Aya,Chihuahua,10/14/2022,35472
Cricket,Beagle,10/14/2022,35487
Breezy Blyden Canton,"Terrier, Jack Russell",10/14/2022,35479
Nuno Gorelik,Portuguese Podengo,10/14/2022,35485
Wally,"Terrier, Jack Russell",10/14/2022,35475
PIPO,Terrier,10/14/2022,35486
Zip,Border Collie,10/14/2022,29224
Bruce Lee,"Mixed Breed, Large (over 44 lbs fully grown)",10/16/2022,
Remy,"Mixed Breed, Medium (up to 44 lbs fully grown)",10/17/2022,
Murphy,"Retriever, Labrador",10/17/2022,
Maddie,Boxer,10/17/2022,
Axel,German Shepherd,10/17/2022,
Diamond garner,"Bulldog, American",10/17/2022,
Annie,"Mixed Breed, Large (over 44 lbs fully grown)",10/19/2022,
Frankie,"Mixed Breed, Large (over 44 lbs fully grown)",10/19/2022,
Sophie,"Setter, English",10/19/2022,
Shelby,Shepherd,10/20/2022,35458
JAX,"Bulldog, French",10/20/2022,35463
Kona Bean,"Retriever, Labrador",10/20/2022,35467
Remington,"Retriever, Golden",10/20/2022,35451
Maya,"Mixed Breed, Large (over 44 lbs fully grown)",10/20/2022,35453
Scout,"Retriever, Labrador",10/20/2022,35459
Rockford,"Poodle, Miniature",10/20/2022,35449
Halloumi,"Welsh Corgi, Pembroke",10/20/2022,35466
Zuko,"Welsh Corgi, Pembroke",10/20/2022,33500
Travieso,"Retriever, Labrador",10/20/2022,35452
Elsa,Australian Cattle Dog,10/20/2022,35471
Angelica,"Poodle, Miniature",10/20/2022,35469
Maddie,"Coonhound, Redbone",10/20/2022,35450
Zeke,"Retriever, Labrador",10/20/2022,
Bagel,"Coonhound, Bluetick",10/20/2022,35470
Bowie,Havanese,10/20/2022,35457
Izzy,"Retriever, Golden",10/20/2022,35454
Cypher,"Poodle, Toy",10/20/2022,35464
Paco,Pointer,10/20/2022,35456
Shepherd,Great Dane,10/20/2022,35468
Rainy,"Mixed Breed, Large (over 44 lbs fully grown)",10/20/2022,35462
Ralph,"Retriever, Labrador",10/20/2022,35460
Ruprecht,"Poodle, Miniature",10/20/2022,35461
Fisher,"Retriever, Labrador",10/20/2022,35134
Chloe,"Setter, English",10/20/2022,35465
Mabel,"Griffon, Wirehaired Pointing",10/20/2022,35455
Saffy,"Mixed Breed, Small (under 24 lbs fully grown)",10/21/2022,35441
Poppy,Pekingese,10/21/2022,35447
Oscar,"Foxhound, American",10/21/2022,33959
Shakespeare,"Mixed Breed, Medium (up to 44 lbs fully grown)",10/21/2022,35446
Reba,Great Pyrenees,10/21/2022,35445
Addie,Chihuahua,10/21/2022,35443
Darcy,"Mixed Breed, Small (under 24 lbs fully grown)",10/21/2022,35442
Blake Lively,Alaskan Husky,10/21/2022,35444
Badi (Chase) license #31069,Shepherd,10/24/2022,31069
Bobi (Fenix)     license #31073,German Shepherd,10/24/2022,31073
Ozzy    License #31072,Shepherd,10/24/2022,31072
Vulkan (Trek) License #31057,Shepherd,10/24/2022,
Tobi (Enzo)   license #31071,Shepherd,10/24/2022,31071
Jojo,Shih Tzu,10/24/2022,
Chimbote,"Bulldog, French",10/24/2022,
Gonzo              License #31070,"Retriever, Labrador",10/24/2022,31070
Pretzel,"Mixed Breed, Medium (up to 44 lbs fully grown)",10/24/2022,
Joda    License #31046,Shepherd,10/25/2022,31046
Dix (Taz)     license #31045,German Shepherd,10/25/2022,31045
Tiger    license #31058,Belgian Malinois,10/25/2022,31058
Nord (Jerry)     license #31074,Shepherd,10/25/2022,31074
Gus,"Dachshund, Standard Smooth Haired",10/26/2022,
Ferke    License #31075,Shepherd,10/27/2022,31075
Titan    License #31086,German Shepherd,10/27/2022,31086
Harley    License #31065,Belgian Malinois,10/27/2022,31065
Zeus    license #31066,Shepherd,10/27/2022,31066
Corrado    License #31044,German Shepherd,10/27/2022,31044
Boh   License #31064,German Shepherd,10/27/2022,31064
Max   License #31067,German Shepherd,10/27/2022,31067
Zorro     License #31084,Shepherd,10/27/2022,31084
Roc    License #31040,"Retriever, Labrador",10/27/2022,31040
Mega    License #31083,Belgian Malinois,10/27/2022,31083
Lord     License #31063,Shepherd,10/27/2022,31063
Dillon (aka- Dilly),"Retriever, Labrador",10/28/2022,
Huck,Australian Cattle Dog,10/30/2022,
Tucker,Bichon Frise,10/30/2022,
Reign,Mastiff,10/31/2022,31004
Kobi   License #31082,Belgian Malinois,11/1/2022,31082
Mina,Australian Cattle Dog,11/1/2022,
Sarge    License #31077,Shepherd,11/1/2022,31077
Lucky     License #31061,German Shepherd,11/1/2022,31061
Arco    License #31060,Shepherd,11/1/2022,31060
Oleg     License #31062,Belgian Malinois,11/1/2022,31062
Percival (Percy),"Terrier, West Highland White",11/2/2022,35429
Remy,"Retriever, Chesapeake Bay",11/2/2022,25885
Storm Anderson,Cane Corso,11/2/2022,35419
Roxor (Nico),Belgian Malinois,11/2/2022,35407
Boone,Spaniel,11/2/2022,35417
Claire,"Retriever, Labrador",11/2/2022,35402
Billy,"Pointer, German Shorthaired",11/2/2022,35410
Bree,"Cur, Black-Mouth",11/2/2022,35416
Claude,"Mixed Breed, Small (under 24 lbs fully grown)",11/2/2022,35424
Juniper Chicharron,"Mixed Breed, Small (under 24 lbs fully grown)",11/2/2022,35421
Cat,"Terrier, Patterdale",11/2/2022,35435
Harley,"Poodle, Miniature",11/2/2022,35425
Missy Tolson,"Terrier, Yorkshire",11/2/2022,35404
Bear,"Retriever, Flat-Coated",11/2/2022,35426
Bodhi,"Mixed Breed, Large (over 44 lbs fully grown)",11/2/2022,35437
Raleigh,Carolina Dog,11/2/2022,35414
Gari (Ziggy),"Pointer, German Shorthaired",11/2/2022,35408
Beans,"Terrier, Yorkshire",11/2/2022,35434
Bear,"Mixed Breed, Large (over 44 lbs fully grown)",11/2/2022,35440
Leo,German Shepherd,11/2/2022,35427
Ube,"Bulldog, French",11/2/2022,35412
Higgins,"Spaniel, English Springer",11/2/2022,35420
Koda,"Poodle, Miniature",11/2/2022,35438
Ogi,"Pointer, German Shorthaired",11/2/2022,35401
Maggie,"Deerhound, Scottish",11/2/2022,35430
Toby,Beagle,11/2/2022,35431
Kora,Border Collie,11/2/2022,35409
Dante,"Mixed Breed, Large (over 44 lbs fully grown)",11/2/2022,35418
Caramelo,"Poodle, Miniature",11/2/2022,35415
Chase,Chihuahua,11/2/2022,35428
Elliott,"Terrier, American Staffordshire",11/2/2022,35422
Primrose,"Mixed Breed, Medium (up to 44 lbs fully grown)",11/2/2022,35411
Davi,Shiba Inu,11/2/2022,35406
Jak,"Pointer, German Shorthaired",11/2/2022,35405
Rooney,Australian Cattle Dog,11/2/2022,35436
Bubba,Bloodhound,11/2/2022,35403
Beau,"Poodle, Standard",11/2/2022,35423
Vivian,"Mixed Breed, Medium (up to 44 lbs fully grown)",11/2/2022,35219
Fiadh,Australian Cattle Dog,11/2/2022,35439
Ursula,Pointer,11/2/2022,35433
Bellacita (Bella),Havanese,11/3/2022,35095
Roger,"Retriever, Golden",11/3/2022,35093
Joan Pawford,Samoyed,11/3/2022,35098
Percival (Percy),"Terrier, West Highland White",11/3/2022,35429
Phoebe,"Retriever, Golden",11/3/2022,35092
Butterball,Catahoula Leopard dog,11/3/2022,35094
Freddie,Chihuahua,11/3/2022,35100
Nalla,German Shepherd,11/3/2022,35099
Quinn,Shepherd,11/3/2022,35091
Whiskey,Australian Shepherd,11/3/2022,35097
Mowgli,Basenji,11/3/2022,35096
Guinness,Retriever,11/4/2022,35087
Brad,"Retriever, Labrador",11/4/2022,35088
Louis,"Welsh Corgi, Pembroke",11/4/2022,33301
Petrus,Bernese Mountain Dog,11/4/2022,35086
Nenya,Aidi,11/4/2022,35089
Frida,Terrier,11/7/2022,
Foggy Bottom,"Chihuahua, Long Coat",11/7/2022,33207
Zeus,Cane Corso,11/7/2022,
Maddy,"Collie, Smooth",11/7/2022,
Piper,"Collie, Smooth",11/7/2022,
Annie,Catahoula Leopard dog,11/8/2022,
Butternut,"Mixed Breed, Medium (up to 44 lbs fully grown)",11/9/2022,
Ruby,"Retriever, Labrador",11/10/2022,25421
Bear Philip Rollings,"Mixed Breed, Medium (up to 44 lbs fully grown)",11/10/2022,25442
Sasso,"Retriever, Golden",11/10/2022,25418
Roxy,"Terrier, American Staffordshire",11/10/2022,25419
Amilcar,Maltese,11/10/2022,25450
Andrew - Churchill,"Retriever, Labrador",11/10/2022,25429
Daphne,"Poodle, Standard",11/10/2022,25420
LEO,"Terrier, Yorkshire",11/10/2022,29537
Elvis,"Bulldog, French",11/10/2022,25433
Bean,"Mixed Breed, Medium (up to 44 lbs fully grown)",11/10/2022,25444
Douglas,Retriever,11/10/2022,25443
Archibald,"Spaniel, Cavalier King Charles",11/10/2022,25422
Pierre,Maltese,11/10/2022,25426
Raffle,Coton de Tulear,11/10/2022,25417
Maybeline,Beagle,11/10/2022,25438
Cherry,Maltese,11/10/2022,25423
Athena,German Shepherd,11/10/2022,29551
Zooey,"Chihuahua, Long Coat",11/10/2022,31259
Scarlett,"Retriever, Golden",11/10/2022,25437
Alfred von Schnitzel,"Poodle, Miniature",11/10/2022,25440
Lenny Herschel Hewitt,"Terrier, Tibetan",11/10/2022,29538
Baloo,"Retriever, Labrador",11/10/2022,29539
Tank,Beagle,11/10/2022,25427
Libby,Beagle,11/10/2022,25431
Ella,"Spaniel, Cavalier King Charles",11/10/2022,31260
Nero,Italian Greyhound,11/10/2022,31257
Corsair,German Shepherd,11/10/2022,25447
Oakley,Shepherd,11/10/2022,25424
Katie,Beagle,11/10/2022,33318
Briar,"Retriever, Labrador",11/10/2022,25446
Odin,Leonberger,11/10/2022,25430
Harpo,Old English Sheepdog,11/10/2022,25425
Wrigley,Maltese,11/10/2022,25428
Cyrus,"German Shepherd, King",11/13/2022,
Ferdinand,"Terrier, American Pit Bull",11/14/2022,
Buddy,"Terrier, Pit Bull",11/16/2022,
Bolin,Bernese Mountain Dog,11/17/2022,31261
Cody,"Mixed Breed, Medium (up to 44 lbs fully grown)",11/17/2022,25432
Charlie,Shih Tzu,11/17/2022,25416
Millie,"Terrier, American Pit Bull",11/17/2022,29335
Hugo,"Poodle, Standard",11/17/2022,31258
Captain,"Retriever, Labrador",11/17/2022,25435
Letty,Australian Shepherd,11/17/2022,25414
Cosi Walkup,"Poodle, Standard",11/17/2022,31256
Moony,Chihuahua,11/17/2022,25445
Tucker,Retriever,11/17/2022,25441
Mushu,"Mixed Breed, Large (over 44 lbs fully grown)",11/17/2022,25434
Penny,"Spaniel, American Cocker",11/17/2022,25449
Yogi,Pomeranian,11/17/2022,25448
Daisy,"Poodle, Miniature",11/17/2022,25439
Waffles,"Terrier, West Highland White",11/17/2022,25415
Dude,"Retriever, Golden",11/17/2022,25436
Marcus,"Poodle, Miniature",11/17/2022,29534
Pepe,"Terrier, West Highland White",11/18/2022,
Ru,Boxer,11/20/2022,
Sprout,Border Collie,11/24/2022,
Summer,"Retriever, Labrador",11/24/2022,
Benji,Bichon Frise,11/25/2022,31594
Foufu,Border Collie,11/25/2022,
Isaac,Terrier,11/27/2022,
Kenai,"Australian Shepherd, Miniature",11/27/2022,29524
Apollo,Shepherd,11/28/2022,26617
June,"Mixed Breed, Medium (up to 44 lbs fully grown)",11/29/2022,
SJ,Mix,12/1/2022,25412
Sierra,Siberian Husky,12/1/2022,25410
"Teddy (Name from the rescue was Peter Pan, so that is what is on his documents)","Poodle, Miniature",12/1/2022,35075
Tilly,"Terrier, Border",12/1/2022,35082
Jackson,"Mixed Breed, Medium (up to 44 lbs fully grown)",12/1/2022,25405
Auggie,"Mixed Breed, Large (over 44 lbs fully grown)",12/1/2022,35078
Benjamin,Chow Chow,12/1/2022,25404
Yoyo,"Terrier, Jack Russell",12/1/2022,25408
Valentina,"Retriever, Golden",12/1/2022,25411
Keppi,"Terrier, American Staffordshire",12/1/2022,25402
Mia,German Shepherd,12/1/2022,35069
Hank,Akita,12/1/2022,25403
Leo,Beagle,12/1/2022,35074
Olive,Retriever,12/1/2022,35071
Sumo,"Poodle, Miniature",12/1/2022,35076
Zahavah,"Retriever, Labrador",12/1/2022,35081
BABY,"Poodle, Toy",12/1/2022,25409
Lady Pretzel,Spaniel,12/1/2022,35070
Pippa,"Poodle, Toy",12/1/2022,35068
Cooper,"Terrier, Jack Russell",12/1/2022,25401
Babe,"Coonhound, Treeing Walker",12/1/2022,25406
Millie,"Retriever, Labrador",12/1/2022,35083
Maximus,Australian Shepherd,12/1/2022,35084
Agnes,Brittany,12/1/2022,35067
Buttercup,"Retriever, Labrador",12/1/2022,35073
Parsnip,Chihuahua,12/1/2022,35077
Archie,"Chihuahua, Short Coat",12/1/2022,35085
Barbara,Australian Cattle Dog,12/1/2022,35080
Pumbaa,"Poodle, Standard",12/2/2022,35062
Dozer Feldman,"Retriever, Labrador",12/2/2022,35065
"Luna (pre-adoption name was ""Siren"")","Retriever, Labrador",12/2/2022,35051
Han Solo,Chihuahua,12/2/2022,35064
Lily,Shepherd,12/2/2022,35063
Oliver,Havanese,12/6/2022,
Ozzy,"Poodle, Standard",12/7/2022,
Max Hill,"Poodle, Miniature",12/8/2022,35052
Kierra,"Mixed Breed, Large (over 44 lbs fully grown)",12/8/2022,
Hazy,"Retriever, Labrador",12/8/2022,35061
Quinn,"Retriever, Labrador",12/8/2022,35055
Bean (formerly Allie),Australian Cattle Dog,12/8/2022,35057
Zoya,Shih Tzu,12/8/2022,35049
Honey,"Terrier, Yorkshire",12/8/2022,35054
Gus,"Retriever, Labrador",12/8/2022,35048
Marley,Beagle,12/8/2022,35053
Arf Garfunkel,Anatolian Shepherd,12/8/2022,35059
Hazel Kuehne,Dalmatian,12/8/2022,35056
Arlo,"Mixed Breed, Medium (up to 44 lbs fully grown)",12/8/2022,35050
Loki,"Dachshund, Standard Smooth Haired",12/8/2022,35058
Moncler,"Poodle, Miniature",12/8/2022,35060
Teddy,"Mixed Breed, Large (over 44 lbs fully grown)",12/9/2022,35044
Bentley,"Terrier, American Pit Bull",12/9/2022,35043
Winston,"Retriever, Golden",12/9/2022,35045
Molly,Border Collie,12/9/2022,47232
Jasper,Border Collie,12/9/2022,35047
Zoey,"Mixed Breed, Medium (up to 44 lbs fully grown)",12/9/2022,35046
Maximus,Beagle,12/9/2022,35042
Duke,"Retriever, Labrador",12/11/2022,
Pearl,German Shepherd,12/12/2022,
Stanley,Old English Sheepdog,12/12/2022,
Bubz,"Retriever, Labrador",12/13/2022,18079
Nugget,"Terrier, English Staffordshire",12/14/2022,25036
Luna,"Mixed Breed, Medium (up to 44 lbs fully grown)",12/14/2022,35040
Jake,German Shepherd,12/14/2022,35036
Olive Abram,"Mixed Breed, Medium (up to 44 lbs fully grown)",12/14/2022,35034
Lincoln,Pug,12/14/2022,35038
Cora,Retriever,12/14/2022,35033
Aspen,"Retriever, Labrador",12/14/2022,35027
Indy,"Retriever, Labrador",12/14/2022,35028
Addi Mai,Beagle,12/14/2022,35035
Izzy,"Retriever, Labrador",12/14/2022,35039
Milli,"Poodle, Miniature",12/14/2022,35037
Coupe,German Shepherd,12/14/2022,35024
Prissy,"Terrier, Pit Bull",12/15/2022,35026
Zinnie,"Retriever, Labrador",12/15/2022,35041
Max,Boxer,12/15/2022,35030
Pippa,"Retriever, Golden",12/15/2022,35025
Keeley,"Poodle, Toy",12/15/2022,35029
Lucy,"Mixed Breed, Small (under 24 lbs fully grown)",12/15/2022,35032
Rosie,Havanese,12/18/2022,
King,"Terrier, Silky",12/19/2022,33324
Blake,Border Collie,12/20/2022,25363
Killian,Great Pyrenees,12/20/2022,25357
Rebekah Stiedemann,Podenco Gallego,12/20/2022,12345
Laney,Chihuahua,12/20/2022,34493
Ben (Peyton),"Pointer, German Shorthaired",12/21/2022,35023
Romeo,Chihuahua,12/21/2022,35015
Ceci,"Retriever, Labrador",12/21/2022,35017
BUzz,German Shepherd,12/21/2022,35012
Coogee,"Australian Shepherd, Miniature",12/21/2022,35013
Dewey,"Poodle, Miniature",12/21/2022,35016
Jekyll,Hound,12/21/2022,35010
Rexie,"Poodle, Standard",12/21/2022,35020
Bondi,Australian Shepherd,12/21/2022,35014
Jet,Feist,12/21/2022,35022
Scully,"Schnauzer, Standard",12/21/2022,35019
Goose,"Retriever, Labrador",12/21/2022,35018
Vladimir,"Mixed Breed, Large (over 44 lbs fully grown)",12/21/2022,35021
Chloe,"Welsh Corgi, Pembroke",12/21/2022,35011
Franklin,"Terrier, American Pit Bull",12/22/2022,
Nellie Buzbee,Australian Cattle Dog,12/25/2022,31394
Gaia,"Mixed Breed, Large (over 44 lbs fully grown)",12/25/2022,
Sunny,"Terrier, American Pit Bull",12/28/2022,
Molly Baldeo,"Mixed Breed, Small (under 24 lbs fully grown)",12/28/2022,35005
Lucky,American Blue Heeler,12/28/2022,35000
Tenoch,Mexican Hairless,12/28/2022,35007
Zen,"Australian Shepherd, Miniature",12/28/2022,25536
Remy,"Mixed Breed, Medium (up to 44 lbs fully grown)",12/28/2022,33282
Bear,"Mixed Breed, Large (over 44 lbs fully grown)",12/28/2022,
Luca,"Poodle, Miniature",12/28/2022,35006
Moose,"Retriever, Golden",12/28/2022,35009
Luna,"Terrier, Yorkshire",12/28/2022,35008
