Fiscal Year,Military Personnel Class,Unit Zip Code,Accession Total,Prior Service,Non-Prior Service
2013,Enlisted,27886,9,2,7
2013,Enlisted,27889,13,6,7
2013,Enlisted,27892,17,10,7
2013,Enlisted,27897,9,3,6
2013,Enlisted,27909,4,0,4
2013,Enlisted,27932,7,2,5
2013,Enlisted,28001,14,14,0
2013,Enlisted,28012,15,2,13
2013,Enlisted,28027,15,6,9
2013,Enlisted,28043,13,3,10
2013,Enlisted,28054,25,2,23
2013,Enlisted,28086,3,1,2
2013,Enlisted,28092,15,4,11
2013,Enlisted,28110,18,4,14
2013,Enlisted,28147,18,8,10
2013,Enlisted,28170,15,2,13
2013,Enlisted,28208,67,17,50
2013,Enlisted,28306,50,21,29
2013,Enlisted,28307,8,8,0
2013,Enlisted,28310,16,6,10
2013,Enlisted,28328,24,8,16
2013,Enlisted,28334,11,5,6
2013,Enlisted,28337,5,3,2
2013,Enlisted,28345,13,4,9
2013,Enlisted,28352,8,1,7
2013,Enlisted,28359,29,14,15
2013,Enlisted,28365,11,1,10
2013,Enlisted,28371,7,1,6
2013,Enlisted,28376,26,10,16
2013,Enlisted,28377,25,8,17
2013,Enlisted,28379,14,2,12
2013,Enlisted,28382,4,0,4
2013,Enlisted,28384,16,5,11
2013,Enlisted,28388,4,1,3
2013,Enlisted,28401,6,0,6
2013,Enlisted,28405,23,14,9
2013,Enlisted,28439,3,0,3
2013,Enlisted,28466,3,1,2
2013,Enlisted,28470,11,2,9
2013,Enlisted,28472,8,4,4
2013,Enlisted,28504,28,4,24
2013,Enlisted,28518,14,2,12
2013,Enlisted,28540,20,13,7
2013,Enlisted,28560,17,4,13
2013,Enlisted,28577,4,3,1
2013,Enlisted,28580,6,2,4
2013,Enlisted,28590,31,4,27
2013,Enlisted,28601,17,3,14
2013,Enlisted,28607,10,1,9
2013,Enlisted,28621,3,0,3
2013,Enlisted,28640,11,0,11
2013,Enlisted,28645,19,6,13
2013,Enlisted,28655,10,1,9
2013,Enlisted,28658,15,4,11
2013,Enlisted,28659,4,2,2
2013,Enlisted,28677,16,3,13
2013,Enlisted,28721,42,5,37
2013,Enlisted,28726,19,4,15
2013,Enlisted,28734,23,4,19
2013,Enlisted,28752,15,1,14
2013,Enlisted,28779,6,1,5
2013,Enlisted,28806,21,5,16
2013,Enlisted,28845,4,1,3
2013,Enlisted,29006,23,7,16
2013,Enlisted,29020,27,8,19
2013,Enlisted,29044,120,26,94
2013,Enlisted,29065,3,1,2
2013,Enlisted,29102,6,0,6
2013,Enlisted,29108,10,3,7
2013,Enlisted,29115,11,5,6
2013,Enlisted,29151,17,3,14
2013,Enlisted,29161,41,3,38
2013,Enlisted,29170,12,1,11
2013,Enlisted,29201,13,7,6
2013,Enlisted,29303,15,6,9
2013,Enlisted,29325,12,4,8
2013,Enlisted,29341,3,0,3
2013,Enlisted,29360,37,5,32
2013,Enlisted,29379,29,7,22
2013,Enlisted,29385,22,5,17
2013,Enlisted,29403,8,3,5
2013,Enlisted,29418,61,12,49
2013,Enlisted,29440,11,4,7
2013,Enlisted,29461,12,5,7
2013,Enlisted,29465,17,3,14
2013,Enlisted,29483,31,6,25
2013,Enlisted,29488,11,1,10
2013,Enlisted,29506,1,0,1
2013,Enlisted,29510,4,1,3
2013,Enlisted,29512,21,1,20
2013,Enlisted,29520,5,0,5
2013,Enlisted,29526,12,2,10
2013,Enlisted,29532,5,0,5
2013,Enlisted,29536,4,0,4
2013,Enlisted,29544,8,1,7
2013,Enlisted,29550,7,1,6
2013,Enlisted,29556,18,0,18
2013,Enlisted,29571,20,4,16
2013,Enlisted,29574,23,1,22
2013,Enlisted,29577,2,0,2
2013,Enlisted,29605,9,4,5
2013,Enlisted,29620,24,0,24
2013,Enlisted,29625,30,14,16
2013,Enlisted,29631,5,1,4
2013,Enlisted,29633,9,2,7
2013,Enlisted,29641,9,1,8
2013,Enlisted,29644,48,12,36
2013,Enlisted,29646,38,9,29
2013,Enlisted,29651,25,2,23
2013,Enlisted,29653,45,6,39
2013,Enlisted,29679,9,4,5
2013,Enlisted,29706,9,0,9
2013,Enlisted,29710,1,1,0
2013,Enlisted,29715,19,5,14
2013,Enlisted,29720,24,3,21
2013,Enlisted,29732,1,0,1
2013,Enlisted,29810,10,0,10
2013,Enlisted,29812,29,4,25
2013,Enlisted,29824,7,0,7
2013,Enlisted,29829,31,4,27
2013,Enlisted,29835,5,0,5
2013,Enlisted,29845,2,1,1
2013,Enlisted,29906,29,8,21
2013,Enlisted,29944,4,0,4
2013,Enlisted,30014,11,9,2
2013,Enlisted,30032,15,5,10
2013,Enlisted,30040,90,31,59
2013,Enlisted,30045,22,7,15
2013,Enlisted,30060,193,78,115
2013,Enlisted,30069,33,11,22
2013,Enlisted,30114,28,5,23
2013,Enlisted,30125,19,5,14
2013,Enlisted,30134,27,4,23
2013,Enlisted,30144,116,31,85
2013,Enlisted,30162,34,13,21
2013,Enlisted,30224,51,3,48
2013,Enlisted,30233,24,7,17
2013,Enlisted,30241,48,14,34
2013,Enlisted,30263,16,14,2
2013,Enlisted,30294,61,24,37
2013,Enlisted,30297,79,35,44
2013,Enlisted,30336,94,15,79
2013,Enlisted,30401,44,8,36
2013,Enlisted,30427,18,4,14
2013,Enlisted,30461,59,25,34
2013,Enlisted,30501,17,3,14
2013,Enlisted,30577,23,5,18
2013,Enlisted,30635,4,2,2
2013,Enlisted,30643,17,4,13
2013,Enlisted,30655,50,12,38
2013,Enlisted,30673,28,4,24
2013,Enlisted,30680,63,20,43
2013,Enlisted,30701,52,7,45
2013,Enlisted,30720,18,1,17
2013,Enlisted,30830,2,2,0
2013,Enlisted,30904,37,23,14
2013,Enlisted,30905,67,24,43
2013,Enlisted,31015,21,7,14
2013,Enlisted,31029,47,21,26
2013,Enlisted,31040,35,12,23
2013,Enlisted,31061,14,5,9
2013,Enlisted,31211,77,21,56
2013,Enlisted,31313,9,8,1
2013,Enlisted,31314,17,5,12
2013,Enlisted,31329,12,3,9
2013,Enlisted,31406,20,7,13
2013,Enlisted,31409,46,18,28
2013,Enlisted,31416,4,4,0
2013,Enlisted,31520,15,4,11
2013,Enlisted,31533,3,3,0
2013,Enlisted,31601,11,5,6
2013,Enlisted,31701,29,11,18
2013,Enlisted,31719,6,2,4
2013,Enlisted,31792,15,15,0
2013,Enlisted,31794,12,3,9
2013,Enlisted,31901,31,14,17
2013,Enlisted,31905,50,28,22
2013,Enlisted,32055,22,9,13
2013,Enlisted,32060,7,2,5
2013,Enlisted,32064,14,1,13
2013,Enlisted,32084,17,4,13
2013,Enlisted,32085,5,3,2
2013,Enlisted,32091,148,68,80
2013,Enlisted,32114,19,14,5
2013,Enlisted,32177,8,4,4
2013,Enlisted,32221,113,57,56
2013,Enlisted,32311,66,21,45
2013,Enlisted,32351,10,4,6
2013,Enlisted,32406,12,3,9
2013,Enlisted,32425,18,3,15
2013,Enlisted,32428,29,6,23
2013,Enlisted,32447,32,12,20
2013,Enlisted,32514,57,25,32
2013,Enlisted,32536,10,6,4
2013,Enlisted,32609,32,12,20
2013,Enlisted,32724,19,4,15
2013,Enlisted,32727,15,6,9
2013,Enlisted,32771,27,12,15
2013,Enlisted,32806,64,32,32
2013,Enlisted,32827,13,6,7
2013,Enlisted,32924,26,12,14
2013,Enlisted,32935,24,14,10
2013,Enlisted,33020,24,11,13
2013,Enlisted,33024,4,3,1
2013,Enlisted,33092,7,5,2
2013,Enlisted,33127,111,46,65
2013,Enlisted,33315,47,22,25
2013,Enlisted,33405,23,11,12
2013,Enlisted,33406,30,9,21
2013,Enlisted,33523,12,6,6
2013,Enlisted,33563,27,4,23
2013,Enlisted,33606,21,10,11
2013,Enlisted,33711,12,9,3
2013,Enlisted,33782,140,68,72
2013,Enlisted,33811,11,5,6
2013,Enlisted,33825,8,1,7
2013,Enlisted,33830,20,9,11
2013,Enlisted,33844,11,5,6
2013,Enlisted,33859,27,15,12
2013,Enlisted,33873,7,7,0
2013,Enlisted,33880,22,8,14
2013,Enlisted,33916,4,3,1
2013,Enlisted,34142,33,8,25
2013,Enlisted,34208,8,4,4
2013,Enlisted,34221,2,2,0
2013,Enlisted,34237,3,2,1
2013,Enlisted,34266,7,2,5
2013,Enlisted,34429,18,5,13
2013,Enlisted,34474,42,29,13
2013,Enlisted,34604,16,6,10
2013,Enlisted,34748,21,15,6
2013,Enlisted,34947,5,2,3
2013,Enlisted,35010,23,0,23
2013,Enlisted,35016,10,0,10
2013,Enlisted,35040,15,2,13
2013,Enlisted,35042,17,3,14
2013,Enlisted,35045,7,2,5
2013,Enlisted,35055,19,5,14
2013,Enlisted,35072,34,8,26
2013,Enlisted,35121,36,5,31
2013,Enlisted,35124,9,3,6
2013,Enlisted,35146,7,1,6
2013,Enlisted,35150,4,1,3
2013,Enlisted,35161,34,4,30
2013,Enlisted,35178,22,1,21
2013,Enlisted,35209,12,8,4
2013,Enlisted,35217,54,7,47
2013,Enlisted,35259,7,2,5
2013,Enlisted,35405,9,0,9
2013,Enlisted,35442,4,1,3
2013,Enlisted,35476,23,0,23
2013,Enlisted,35501,23,3,20
2013,Enlisted,35555,23,3,20
2013,Enlisted,35565,15,1,14
2013,Enlisted,35592,7,0,7
2013,Enlisted,35594,11,1,10
2013,Enlisted,35601,20,2,18
2013,Enlisted,35611,25,0,25
2013,Enlisted,35613,35,3,32
2013,Enlisted,35630,27,3,24
2013,Enlisted,35640,14,0,14
2013,Enlisted,35660,7,2,5
2013,Enlisted,35803,20,3,17
2013,Enlisted,35805,13,1,12
2013,Enlisted,35904,57,12,45
2013,Enlisted,35950,6,0,6
2013,Enlisted,35967,8,5,3
2013,Enlisted,36009,7,3,4
2013,Enlisted,36010,24,2,22
2013,Enlisted,36016,16,0,16
2013,Enlisted,36032,28,1,27
2013,Enlisted,36043,26,3,23
2013,Enlisted,36067,30,3,27
2013,Enlisted,36072,9,1,8
2013,Enlisted,36078,17,1,16
2013,Enlisted,36081,19,3,16
2013,Enlisted,36083,4,0,4
2013,Enlisted,36108,1,1,0
2013,Enlisted,36109,67,9,58
2013,Enlisted,36117,2,1,1
2013,Enlisted,36121,12,1,11
2013,Enlisted,36203,23,5,18
2013,Enlisted,36205,16,2,14
2013,Enlisted,36250,3,0,3
2013,Enlisted,36251,21,5,16
2013,Enlisted,36265,46,12,34
2013,Enlisted,36301,35,8,27
2013,Enlisted,36322,31,7,24
2013,Enlisted,36323,12,1,11
2013,Enlisted,36330,9,3,6
2013,Enlisted,36331,4,0,4
2013,Enlisted,36340,12,2,10
2013,Enlisted,36344,9,1,8
2013,Enlisted,36421,8,3,5
2013,Enlisted,36426,21,5,16
2013,Enlisted,36442,5,0,5
2013,Enlisted,36460,16,3,13
2013,Enlisted,36502,24,3,21
2013,Enlisted,36522,22,2,20
2013,Enlisted,36532,19,4,15
2013,Enlisted,36535,8,2,6
2013,Enlisted,36545,13,0,13
2013,Enlisted,36605,72,10,62
2013,Enlisted,36608,11,3,8
2013,Enlisted,36701,4,1,3
2013,Enlisted,36726,4,0,4
2013,Enlisted,36732,11,1,10
2013,Enlisted,36756,14,1,13
2013,Enlisted,36801,13,2,11
2013,Enlisted,36832,10,5,5
2013,Enlisted,36854,36,9,27
2013,Enlisted,36867,22,3,19
2013,Enlisted,36904,14,2,12
2013,Enlisted,37015,12,3,9
2013,Enlisted,37033,10,5,5
2013,Enlisted,37042,15,8,7
2013,Enlisted,37056,18,12,6
2013,Enlisted,37066,21,8,13
2013,Enlisted,37083,19,3,16
2013,Enlisted,37090,38,14,24
